movie_name,relase_date,types,areas,staff,votes
阿丽塔：战斗天使,2018年12月21日(美国),科幻/灾难,美国|加拿大|阿根廷, 罗伯特·罗德里格兹 罗莎·萨拉扎尔 克里斯托弗·瓦尔兹,1920
大黄蜂,2018年12月21日(美国),动作/惊悚,美国, 塔拉维斯·奈特 海莉·斯坦菲尔德 帕梅拉·奥德隆,88
新欢乐满人间,2018年12月25日(美国),动画/动作,美国, 罗伯·马歇尔 艾米莉·布朗特 林-曼努尔·米兰达,163
爱尔兰人,2018年(美国),爱情/喜剧,美国, 马丁·斯科塞斯 罗伯特·德尼罗 阿尔·帕西诺,372
超体2,2018年(美国),动画/家庭,法国,   ,214
新哥斯拉,2018年(中国),动作/冒险,日本, 庵野秀明 石原里美 长谷川博己,190
冰海陷落,2018年(美国),动画/动作,美国|中国, Donovan Marsh 杰拉德·巴特勒 加里·奥德曼,68
忍者蝙蝠侠,2018年(日本),动画/动作,日本|美国, 水崎淳平 山寺宏一 高木涉,51
百星贺囍2018,2018年(中国),动作/冒险,中国香港, 叶念琛 刘嘉玲 任达华,12
老家伙,2018年(中国),动作/冒险,中国香港|中国, 袁和平  ,6
虫林大作战,2018年(中国),动作/科幻,法国|卢森堡, Arnaud Bouron Ryan Nicolls ,3
地狱男爵：血皇后崛起,2019年1月11日(美国),动作/冒险,美国, 尼尔·马歇尔 大卫·哈伯 伊恩·麦柯肖恩,59
乐高大电影2,2019年2月8日(美国),动作/科幻,美国|澳大利亚|丹麦, 罗伯·施拉伯  ,85
驯龙高手3,2019年3月1日(美国),动作/科幻,美国, 迪恩·德布洛斯 杰伊·巴鲁切尔 克里斯汀·韦格,374
惊奇队长,2019年3月8日(美国),动作/冒险,美国, 安娜·波顿 布丽·拉尔森 塞缪尔·杰克逊,391
哥斯拉2,2019年3月22日(美国),奇幻/剧情,美国, 迈克尔·道赫蒂 凯尔·钱德勒 米莉·博比·布朗,219
复仇者联盟4,2019年5月3日(美国),冒险/剧情,美国, 安东尼·罗素 小罗伯特·唐尼 克里斯·埃文斯,825
牌皇,2019年6月7日(美国),动画,美国,  查宁·塔图姆 丽兹·卡潘,168
